target_name,0,1
HEK293_Adli_site1,41,10
HEK293_Adli_site_2,40,2
HEK293_Adli_site_3,104,5
HEK293_combined_Adli_site_4,882,129
U2OS_combined_VEGFA_site_2,1553,128
U2OS_combined_VEGFA_site_3,754,46
U2OS_exp2_EMX1,57,12
U2OS_exp2_FANCF,43,7
U2OS_exp2_RNF2,7,1
U2OS_exp2_VEGFA_site_1,302,14
