target_name,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0
EMX1,1,0,1,7,5,0,0,0
FANCF,1,0,1,3,3,0,0,0
HEKgRNA1,1,0,1,5,2,1,0,0
HEKgRNA2,1,0,1,0,1,0,0,0
HEKgRNA3,1,0,0,2,2,0,0,0
HEKgRNA4,1,0,9,50,55,13,5,1
RNF2,1,0,0,0,0,0,0,0
VEGFA_site1,1,1,2,2,6,2,1,0
VEGFA_site2,1,0,0,10,49,47,22,3
VEGFA_site3,1,1,7,26,12,3,1,1
